20MICRONS,20 Microns
BIRLAMONEY,.Adit..Birla Money.
BIRLATYRE,Birla Tyres
BLBLIMITED,BLB
BLISSGVS,Bliss GVS Pharma
BLKASHYAP,.B..L..Kashyap.
BLUEDART,Blue Dart Expres
BLUESTARCO,Blue Star
BODALCHEM,Bodal Chemicals
BOMDYEING,Bombay Dyeing
BOROLTD,Borosil
BORORENEW,Borosil Renew
BOSCHLTD,Bosch
BPCL,B P C L
BRIGADE,Brigade Enterpr
BRITANNIA,Britannia Inds
BRNL,Bharat Road
BROOKS,Brooks Lab
BSE,BSE
BSHSL,Bombay Super Hyb
BSL,BSL
BSOFT,Birlasoft Ltd
BURGERKING,Burger King
BURNPUR,Burnpur Cement
BYKE,The Byke Hospi
CADILAHC,Cadila Health
CAMLINFINE,Camlin Fine
CAMS,Cams Services
CANBK,Canara Bank
CANFINHOME,Can Fin Homes
CAPACITE,Capacit'e Infra
CAPLIPOINT,Caplin Point Lab
CAPTRUST,Capital Trust
CARBORUNIV,Carborundum Uni
CAREERP,Career Point
CARERATING,CARE Ratings
CARTRADE,Cartrade Tech
CASTROLIND,Castrol India
CCHHL,Country Club Hos
CCL,CCL Products
CDSL,C D S L
CEATLTD,CEAT
CEBBCO,Commercial Eng
CELEBRITY,Celebrity Fash
CENTENKA,Century Enka
CENTEXT,Century Extrus
CENTRALBK,Central Bank
CENTRUM,Centrum Capital
CENTUM,Centum Electron
CENTURYPLY,Century Plyboard
CENTURYTEX,Century Textiles
CERA,Cera Sanitary
CEREBRAINT,Cerebra Integr
CESC,CESC
CGCL,Capri Global
CHALET,Chalet Hotels
CHAMBLFERT,Chambal Fert
CHEMBOND,Chembond Chem
CHEMCON,Chemcon Special
CHEMFAB,Chemfab Alka
CHEMPLASTS,Chemplast Sanmar
CHENNPETRO,C P C L
CHOLAFIN,.Cholaman..Inv..&Fn.
CHOLAHLDNG,Chola Financial
CIGNITITEC,Cigniti Tech
CINELINE,Cineline India
CIPLA,Cipla
CLEAN,Clean Science
CLNINDIA,Clariant Chemica
CLSEL,Chamanlal Setia
CMICABLES,CMI
COALINDIA,Coal India
COASTCORP,Coastal Corporat
COCHINSHIP,Cochin Shipyard
COFFEEDAY,Coffee Day Enter
COFORGE,Coforge
COLPAL,Colgate-Palmoliv
COMPINFO,Compuage Info
COMPUSOFT,Compucom Soft
CONCOR,Container Corpn
CONFIPET,Confidence Petro
CONSOFINVT,.Cons.. Finvest.
CONTROLPR,Control Print
CORALFINAC,Coral India Fin
CORDSCABLE,Cords Cable
COROMANDEL,Coromandel Inter
COSMOFILMS,Cosmo Films
COUNCODOS,Country Condo
CRAFTSMAN,Craftsman Auto
CREDITACC,.CreditAcc.. Gram.
CRISIL,CRISIL
CROMPTON,.Crompton Gr.. Con.
CSBBANK,CSB Bank
CTE,Cambridge Tech
CUB,City Union Bank
CUBEXTUB,Cubex Tubings
CUMMINSIND,Cummins India
CUPID,Cupid
CYBERMEDIA,Cyber Media Ind
CYBERTECH,Cybertech Sys
CYIENT,Cyient
DAAWAT,L T Foods
DABUR,Dabur India
DALBHARAT,Dalmia BharatLtd
DALMIASUG,Dalmia Bharat
DAMODARIND,Damodar Indust
DANGEE,Dangee Dums
DATAMATICS,Datamatics Glob
DATAPATTNS,Data Pattern
DBCORP,D B Corp
DBL,Dilip Buildcon
DBSTOCKBRO,.DB Intl..Stock.
DCAL,Dishman Carbogen
DCBBANK,DCB Bank
DCMNVL,DCM Nouvelle
DCMSHRIRAM,DCM Shriram
DCMSRIND,DCM Shriram Inds
DECCANCE,Deccan Cements
DEEPAKFERT,Deepak Fertiliz
DEEPAKNTR,Deepak Nitrite
DEEPENR,Deep Energy
DEEPINDS,Deep Industries
DELPHIFX,Delphi World
DELTACORP,Delta Corp
DELTAMAGNT,Delta Manufact
DEN,Den Networks
DEVYANI,Devyani Intl
DFMFOODS,DFM Foods
DHAMPURSUG,Dhampur Sugar
DHANBANK,Dhanlaxmi Bank
DHANI,Dhani Services
DHANUKA,Dhanuka Agritech
DHARAMSI,Dharamsi Morarji
DHARSUGAR,Dharani Sugars
DHUNINV,Dhunseri Invest
DIAMONDYD,Prataap Snacks
DICIND,DIC India
DIGISPICE,DigiSpice Tech
DIGJAMLMTD,Digjam
DIVISLAB,Divi's Lab
DIXON,Dixon Technolog
DLF,DLF
DLINKINDIA,D-Link India
DMART,Avenue Super
DODLA,Dodla Dairy
DOLLAR,Dollar Industrie
DPABHUSHAN,.D.. P.. Abhushan.
DPSCLTD,India Power Corp
DPWIRES,D P Wires
DREDGECORP,Dredging Corpn
DRREDDY,Dr Reddy's Labs
DSSL,Dynacons Sys
DTIL,Dhunseri Tea
DVL,Dhunseri Vent
DWARKESH,Dwarikesh Sugar
DYNPRO,Dynemic Products
EASTSILK,ESI
ECLERX,eClerx Services
EDELWEISS,.Edelweiss..Fin.
EICHERMOT,Eicher Motors
EIDPARRY,EID Parry
EIFFL,Euro India Fresh
EIHAHOTELS,.EIH Assoc..Hotels.
EIHOTEL,EIH
EIMCOELECO,Eimco Elecon(I)
EKC,Everest Kanto
ELECON,.Elecon Engg..Co.
ELECTCAST,.Electrost..Cast.
ELECTHERM,Electrotherm(I)
ELGIEQUIP,Elgi Equipments
ELGIRUBCO,Elgi Rubber Co
EMAMILTD,Emami
EMAMIPAP,Emami Paper
EMAMIREAL,Emami Realty Ltd
EMKAY,.Emk..Global Fin.
EMMBI,Emmbi Industries
ENDURANCE,Endurance Tech
ENERGYDEV,.Energy Devl..Co.
ENGINERSIN,Engineers India
ENIL,.Ent..Network.
EPL,EPL Ltd
EQUIPPP,Equippp Social
EQUITASBNK,.Equitas Sma.. Fin.
EQUITAS,Equitas Holdings
ERIS,ERIS Lifescience
EROSMEDIA,.Eros Intl..Media.
ESABINDIA,Esab India
ESCORTS,Escorts
ESSARSHPNG,Essar Shipping
ESTER,Ester Industries
EVEREADY,Eveready Inds
EVERESTIND,Everest Inds
EXCELINDUS,Excel Industries
EXIDEIND,Exide Inds
EXPLEOSOL,Expleo Solutions
EXXARO,Exxaro Tiles
FACT,F A C T
FAIRCHEMOR,Fairchem Organic
FCL,Fineotex Chem
FCONSUMER,Future Consumer
FDC,FDC
FEDERALBNK,Federal Bank
FEL,Future Enterp
FELDVR,.Future Ent.. DVR.
FIEMIND,Fiem Industries
FILATEX,Filatex India
FINCABLES,Finolex Cables
FINEORG,Fine Organic
FINOPB,Fino Payments
FINPIPE,Finolex Inds
FLEXITUFF,Flexituff Vent
FLFL,Future Lifestyle
FLUOROCHEM,Gujarat Fluoroch
FMGOETZE,Federal-Mogul Go
FMNL,Future Market
FOCUS,Focus Lighting
FOODSIN,Foods & Inns
FORCEMOT,Force Motors
FORTIS,Fortis Health
FOSECOIND,Foseco India
FRETAIL,Future Retail
FSC,Future Supply
FSL,.Firstsour..Solu.
GABRIEL,Gabriel India
GAEL,.Guj.. Ambuja Exp.
GAIL,GAIL (India)
GALAXYSURF,Galaxy Surfact
GAL,Gyscoal Alloys
GALLANTT,Gallantt Metal
GALLISPAT,Gallantt Ispat
GANDHITUBE,.Gandhi Spl.. Tube.
GANECOS,Ganesha Ecosphe
GANESHBE,Ganesh Benzopl
GANESHHOUC,Ganesh Housing
GANGAFORGE,Ganga Forging
GANGESSECU,Ganges Securitie
GARFIBRES,Garware Tech
GATI,Gati
GAYAPROJ,Gayatri Projects
GDL,Gateway Distr
GEECEE,GeeCee Vent
GEEKAYWIRE,Geekay Wires
GENCON,Generic Engineer
GENESYS,Genesys Intl
GENUSPAPER,Genus Paper & Bo
GENUSPOWER,Genus Power
GEOJITFSL,.Geojit Fin.. Ser.
GEPIL,GE Power
GESHIP,GE Shipping Co
GET&D,GE T&D India
GFLLIMITED,GFL
GHCL,GHCL
GICHSGFIN,GIC Housing Fin
GICRE,General Insuranc
GILLANDERS,Gillanders Arbut
GILLETTE,Gillette India
GINNIFILA,Ginni Filaments
GIPCL,.Guj Inds.. Power.
GKWLIMITED,GKW
GLAND,Gland Pharma
GLAXO,.Glaxosmi.. Pharma.
GLENMARK,Glenmark Pharma
GLOBAL,Global Education
GLOBALVECT,Global Vectra
GLOBE,Globe Textiles
GLOBUSSPR,Globus Spirits
GLS,Glenmark Life
GMBREW,G M Breweries
GMDCLTD,G M D C
GMMPFAUDLR,GMM Pfaudler
GMRINFRA,GMR Infra
GNA,GNA Axles
GNFC,G N F C
GOACARBON,Goa Carbon
GOCLCORP,GOCL Corpn
GOCOLORS,Go Fashion (I)
GODFRYPHLP,Godfrey Phillips
GODREJAGRO,Godrej Agrovet
GODREJCP,Godrej Consumer
GODREJIND,Godrej Industrie
GODREJPROP,Godrej Propert
GOKEX,Gokaldas Exports
GOKULAGRO,Gokul Agro
GOKUL,Gokul Refoils
GOLDIAM,Goldiam Intl
GOODLUCK,Goodluck India
GOODYEAR,Goodyear India
GPIL,Godawari Power
GPPL,Guj Pipavav Port
GPTINFRA,GPT Infraproject
GRANULES,Granules India
GRAPHITE,Graphite India
GRASIM,Grasim Inds
GRAUWEIL,Grauer & Weil
GRAVITA,Gravita India
GREAVESCOT,Greaves Cotton
GREENLAM,Greenlam Industr
GREENPANEL,Greenpanel Inds
GREENPLY,Greenply Industr
GRINDWELL,Grindwell Norton
GRINFRA,G R Infraproject
GROBTEA,Grob Tea Co
GRPLTD,GRP
GRSE,Garden Reach Sh
GSCLCEMENT,.Guj.. Sidhee Cem.
GSFC,G S F C
GSPL,.Guj..St..Petronet.
GTL,GTL
GTNTEX,GTN Textiles
GTPL,GTPL Hathway
GUFICBIO,Gufic BioScience
GUJALKALI,Gujarat Alkalies
GUJAPOLLO,Guj Apollo Inds
GUJGASLTD,Gujarat Gas
GULFOILLUB,Gulf Oil Lubric
GULFPETRO,GP Petroleums
GULPOLY,Gulshan Polyols
HAL,.Hind..Aeronautics.
HAPPSTMNDS,Happiest Minds
HARRMALAYA,.Harri.. Malayalam.
HATHWAY,Hathway Cable
HATSUN,Hatsun Agro
HAVELLS,Havells India
HBLPOWER,HBL Power System
HBSL,HB Stockholdings
HCC,.Hind..Construct.
HCG,.Health..Global.
HCL-INSYS,HCL Infosystems
HCLTECH,HCL Technologies
HDFCAMC,HDFC AMC
HDFCBANK,HDFC Bank
HDFC,H D F C
HDFCLIFE,HDFC Life Insur
HECPROJECT,HEC Infra Proj
HEG,HEG
HEIDELBERG,Heidelberg Cem
HEMIPROP,Hemisphere Prop
HERANBA,Heranba Inds
HERCULES,Hercules Hoists
HERITGFOOD,Heritage Foods
HEROMOTOCO,Hero Motocorp
HESTERBIO,Hester Bios
HEXATRADEX,Hexa Tradex
HFCL,HFCL
HGINFRA,.H..G.. Infra Engg.
HGS,Hinduja Global
HIKAL,Hikal
HIL,Hil Ltd
HIMATSEIDE,.Himatsing.. Seide.
HINDALCO,Hindalco Inds
HINDCOMPOS,.Hind..Composites.
HINDCON,Hindcon Chemical
HINDCOPPER,Hindustan Copper
HINDNATGLS,.Hind..Natl..Glass.
HINDOILEXP,.Hind..Oil Explor.
HINDPETRO,H P C L
HINDUNILVR,.Hind.. Unilever.
HINDZINC,Hindustan Zinc
HIRECT,Hind Rectifiers
HISARMETAL,.Hisar Met..Inds.
HITECHCORP,Hitech Corp
HITECH,Hi-Tech Pipes
HITECHGEAR,The Hi-Tech Gear
HLEGLAS,HLE Glascoat
HMVL,Hindustan Media
HNDFDS,Hindustan Foods
HOMEFIRST,Home First Finan
HONAUT,Honeywell Auto
HONDAPOWER,Honda India
HOVS,HOV Services
HPL,HPL Electric
HSCL,Himadri Special
HSIL,HSIL
HTMEDIA,H T Media
HUBTOWN,Hubtown
HUDCO,H U D C O
HUHTAMAKI,Huhtamaki India
IBREALEST,.Indbull..RealEst.
IBULHSGFIN,Indiabulls Hous
ICEMAKE,ICE Make Refrig
ICICIBANK,ICICI Bank
ICICIGI,ICICI Lombard
ICICIPRULI,ICICI Pru Life
ICIL,Indo Count Inds
ICRA,ICRA
IDBI,IDBI Bank
IDEA,Vodafone Idea
IDFC,I D F C
IDFCFIRSTB,IDFC First Bank
IEX,Indian Energy Ex
IFBAGRO,IFB Agro Inds
IFBIND,IFB Industries
IFCI,IFCI
IFGLEXPOR,IFGL Refractori
IGARASHI,Igarashi Motors
IGL,Indraprastha Gas
IGPL,I G Petrochems
IIFL,IIFL Finance
IIFLSEC,IIFL Securities
IIFLWAM,IIFL Wealth Mgt
IMFA,Indian Metals
IMPAL,India Motor Part
INCREDIBLE,Incredible Indus
INDBANK,Indbank Merchant
INDHOTEL,Indian Hotels Co
INDIACEM,India Cements
INDIAGLYCO,India Glycols
INDIAMART,Indiamart Inter
INDIANB,Indian Bank
INDIANCARD,Indian CardCloth
INDIANHUME,Indian Hume Pipe
INDIGO,Interglobe Aviat
INDIGOPNTS,Indigo Paints
INDLMETER,IMP Powers
INDNIPPON,.India Nipp..Elec.
INDOCO,Indoco Remedies
INDORAMA,Indo Rama Synth
INDOSTAR,Indostar Capital
INDOTECH,.Indo Tech..Trans.
INDOTHAI,Indo Thai Sec
INDRAMEDCO,.Indrapr..Medical.
INDSWFTLAB,Ind-Swift Labs
INDSWFTLTD,Ind-Swift
INDTERRAIN,Indian Terrain
INDUSINDBK,IndusInd Bank
INDUSTOWER,Indus Towers
INEOSSTYRO,INEOS Styrolut
INFIBEAM,Infibeam Avenues
INFOBEAN,InfoBeans Tech
INFY,Infosys
INGERRAND,Ingersoll-Rand
INOXLEISUR,Inox Leisure
INOXWIND,Inox Wind
INSECTICID,.Insecticid..India.
INTELLECT,Intellect Design
INTENTECH,Intense Tech
INTLCONV,.Intl.. Conveyors.
INVENTURE,Inventure Grow
IOB,I O B
IOC,I O C L
IOLCP,IOL Chemicals
IPCALAB,Ipca Labs
IPL,India Pesticides
IRB,.IRB Infra..Devl.
IRCON,Ircon Intl
IRCTC,I R C T C
IRFC,I R F C
IRIS,IRIS Business
IRISDOREME,Iris Clothings
ISEC,ICICI Securities
ISFT,Intrasoft Tech
ISGEC,ISGEC Heavy
ITC,ITC
ITDC,I T D C
ITDCEM,ITD Cem
ITI,ITI
IVC,.IL&FS Inv..Manag.
IVP,IVP
IZMO,IZMO
JAGRAN,Jagran Prakashan
JAGSNPHARM,Jagsonpal Pharma
JAIBALAJI,Jai Balaji Inds
JAICORPLTD,Jai Corp
JAIPURKURT,Nandani Creation
JAMNAAUTO,Jamna Auto Inds
JASH,Jash Engineering
JAYAGROGN,Jayant Agro Org
JAYBARMARU,Jay Bharat Maru
JAYSREETEA,Jay Shree Tea
JBCHEPHARM,J B Chem & Pharm
JBMA,JBM Auto
JCHAC,.Johnson Con.. Hit.
JETFREIGHT,Jet Freight
JHS,.JHS Sven..Lab.
JINDALPHOT,Jindal Photo
JINDALPOLY,Jindal Poly Film
JINDALSAW,Jindal Saw
JINDALSTEL,Jindal Steel
JINDRILL,Jindal Drilling
JINDWORLD,Jindal Worldwide
JISLJALEQS,Jain Irrigation
J&KBANK,J & K Bank
JKCEMENT,J K Cements
JKIL,J Kumar Infra
JKLAKSHMI,JK Lakshmi Cem
JKPAPER,JK Paper
JKTYRE,JK Tyre & Indust
JMA,Jullundur Motor
JMCPROJECT,JMC Projects
JMFINANCIL,JM Financial
JOCIL,Jocil
JPASSOCIAT,JP Associates
JPINFRATEC,Jaypee Infratech
JPPOWER,JP Power Ven
JSL,Jindal Stain
JSLHISAR,.Jindal Stain.. Hi.
JSWHL,JSW Holdings
JSWISPL,JSW Ispat Speci
JSWSTEEL,JSW Steel
JTEKTINDIA,JTEKT India
JUBLFOOD,Jubilant Food
JUBLINDS,Jubilant Inds
JUBLINGREA,Jubilant Ingrev
JUBLPHARMA,Jubilant Pharmo
JUSTDIAL,Just Dial
JYOTHYLAB,Jyothy Labs
KABRAEXTRU,Kabra Extrusion
KAJARIACER,Kajaria Ceramics
KAKATCEM,Kakatiya Cement
KALPATPOWR,Kalpataru Power
KALYANKJIL,Kalyan Jewellers
KAMATHOTEL,Kamat Hotels
KAMDHENU,Kamdhenu
KANANIIND,Kanani Industrie
KANORICHEM,Kanoria Chem
KANPRPLA,Kanpur Plastipa
KANSAINER,Kansai Nerolac
KAPSTON,Kapston Facilit
KARMAENG,Karma Energy Ltd
KARURVYSYA,Karur Vysya Bank
KAUSHALYA,Kaushalya Infra
KAYA,Kaya Ltd
KBCGLOBAL,KBC Global
KCP,K C P
KCPSUGIND,KCP Sugar &Inds
KDDL,KDDL Ltd
KEC,K E C Intl
KEERTI,Keerti Knowledge
KEI,KEI Industries
KELLTONTEC,Kellton Tech
KENNAMET,Kennametal India
KESORAMIND,Kesoram Inds
KEYFINSERV,Keynote Finan
KHADIM,Khadim India
KHAICHEM,Khaitan Chemical
KHANDSE,Khandwala Sec
KICL,Kalyani Invest
KILITCH,Kilitch Drugs
KIMS,Krishna Institu
KINGFA,Kingfa Science
KIOCL,KIOCL
KIRIINDUS,Kiri Industries
KIRLFER,.Kirl.. Ferrous.
KIRLOSBROS,.Kirl.. Brothers.
KIRLOSENG,Kirloskar Oil
KIRLOSIND,Kirloskar Indus
KITEX,Kitex Garments
KKCL,.Kewal Kir..Cloth.
KMSUGAR,KM Sugar Mills
KNRCON,KNR Construct
KOKUYOCMLN,Kokuyo Camlin
KOLTEPATIL,Kolte Patil Dev
KOPRAN,Kopran
KOTAKBANK,.Kotak Mah.. Bank.
KOTARISUG,Kothari Sugars
KOTHARIPET,Kothari Petroche
KOTHARIPRO,Kothari Products
KOVAI,Kovai Medical
KPIGLOBAL,K P I Global Inf
KPITTECH,KPIT Technologi
KPRMILL,K P R Mill Ltd
KRBL,KRBL
KREBSBIO,Krebs Biochem
KRIDHANINF,Kridhan Infra
KRISHANA,Krishana Phosch
KRITI,Kriti Industries
KRSNAA,Krsnaa Diagnost
KSB,KSB
KSCL,Kaveri Seed Co
KSL,Kalyani Steels
KTKBANK,Karnataka Bank
KUANTUM,Kuantum Papers
LAGNAM,Lagnam Spintex
LALPATHLAB,Dr Lal Pathlabs
LAMBODHARA,Lambodhara Text
LAOPALA,La Opala RG
LASA,Lasa Supergeneri
LATENTVIEW,Latent View
LAURUSLABS,Laurus Labs
LAXMICOT,Laxmi Cotspin
LAXMIMACH,.Lak.. Mach.. Works.
LCCINFOTEC,LCC Infotech
LEMONTREE,Lemon Tree Hotel
LFIC,.Lak.. Fin.. & Indl.
LGBBROSLTD,L G Balakrishnan
LGBFORGE,LGB Forge
LIBAS,Libas Consumer
LIBERTSHOE,Liberty Shoes
LICHSGFIN,LIC Housing Fin
LIKHITHA,Likhitha Infra
LINCOLN,Lincoln Pharma
LINDEINDIA,Linde India
LODHA,Macrotech Devel
LOKESHMACH,Lokesh Mach
LOTUSEYE,Lotus Eye Hospit
LPDC,Landmark Prop
LT,Larsen & Toubro
L&TFH,.L&T Fin..Holdings.
LTI,L & T Infotech
LTTS,L&T Technology
LUMAXIND,Lumax Industries
LUMAXTECH,Lumax Auto Tech
LUPIN,Lupin
LUXIND,Lux Industries
LXCHEM,Laxmi Organic
LYKALABS,Lyka Labs
LYPSAGEMS,Lypsa Gems
MAANALU,Maan Aluminium
MACPOWER,Macpower CNC
MADHAV,Madhav Marbles
MADRASFERT,Madras Fertilize
MAGADSUGAR,Magadh Sugar
MAGNUM,Magnum Ventures
MAHABANK,Bank of Maha
MAHASTEEL,Mahamaya Steel
MAHEPC,Mahindra EPC
MAHESHWARI,Maheshwari Logi
MAHINDCIE,Mahindra CIE
MAHLIFE,Mahindra Life
MAHLOG,Mahindra Logis
MAHSCOOTER,.Mah.. Scooters.
MAHSEAMLES,.Mah.. Seamless.
MAITHANALL,Maithan Alloys
MALUPAPER,Malu Paper
MANAKALUCO,Manaksia Alumi
MANAKCOAT,Manaksia Coated
MANAKSIA,Manaksia
MANAKSTEEL,Manaksia Steels
MANALIPETC,Manali Petrochem
MANAPPURAM,Manappuram Fin
MANGALAM,Mangalam Drugs
MANGCHEFER,Mangalore Chem
MANGLMCEM,Mangalam Cement
MANGTIMBER,Mangalam Timber
MANINDS,Man Industries
MANINFRA,Man Infra
MANORG,Mangalam Organic
MAPMYINDIA,.C..E.. Info System.
MARALOVER,Maral Overseas
MARATHON,Marathon Nextgen
MARICO,Marico
MARINE,Marine Electric
MARKSANS,Marksans Pharma
MARSHALL,Marshall Machin
MARUTI,Maruti Suzuki
MASFIN,MAS FINANC SER
MASTEK,Mastek
MATRIMONY,.Matrimony..com.
MAWANASUG,Mawana Sugars
MAXHEALTH,Max Healthcare
MAXIND,Max India Ltd
MAXVIL,Max Ventures
MAYURUNIQ,Mayur Uniquoters
MAZDA,Mazda
MAZDOCK,Mazagon Dock
MBAPL,M B Agro Prod
MBLINFRA,MBL Infrast
MCDOWELL-N,United Spirits
MCL,Madhav Copper
MCLEODRUSS,Mcleod Russel
MCX,.Multi Comm.. Exc.
MEDICAMEQ,Medicamen Biotec
