20MICRONS,20 Microns Limited
ALPA,Alpa Laboratories Limited
ALPHAGEO,Alphageo (India) Limited
AMARAJABAT,Amara Raja Batteries Limited
AMBER,Amber Enterprises India Limited
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited
AMBIKCO,Ambika Cotton Mills Limited
AMBUJACEM,Ambuja Cements Limited
AMDIND,AMD Industries Limited
AMIORG,Ami Organics Limited
AMJLAND,Amj Land Holdings Limited
AMRUTANJAN,Amrutanjan Health Care Limited
ANANDRATHI,Anand Rathi Wealth Limited
ANANTRAJ,Anant Raj Limited
ANDHRACEMT,Andhra Cements Limited
ANDHRAPAP,ANDHRA PAPER LIMITED
ANDHRSUGAR,The Andhra Sugars Limited
ANDREWYU,Andrew Yule & Company Limited
ANGELONE,Angel One Limited
ANIKINDS,Anik Industries Limited
ANMOL,Anmol India Limited
ANUP,The Anup Engineering Limited
ANURAS,Anupam Rasayan India Limited
APARINDS,Apar Industries Limited
APCL,Anjani Portland Cement Limited
APCOTEXIND,Apcotex Industries Limited
APEX,Apex Frozen Foods Limited
APLAPOLLO,APL Apollo Tubes Limited
APLLTD,Alembic Pharmaceuticals Limited
APOLLO,Apollo Micro Systems Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
APOLLOPIPE,Apollo Pipes Limited
APOLLOTYRE,Apollo Tyres Limited
APOLSINHOT,Apollo Sindoori Hotels Limited
APTECHT,Aptech Limited
APTUS,Aptus Value Housing Finance India Limited
ARCHIDPLY,Archidply Industries Limited
ARCHIES,Archies Limited
ARENTERP,Rajdarshan Industries Limited
ARIES,Aries Agro Limited
ARIHANTCAP,Arihant Capital Markets Limited
ARIHANTSUP,Arihant Superstructures Limited
ARMANFIN,Arman Financial Services Limited
AROGRANITE,Aro Granite Industries Limited
ARROWGREEN,Arrow Greentech Limited
ARSHIYA,Arshiya Limited
ARSSINFRA,ARSS Infrastructure Projects Limited
ARTEMISMED,Artemis Medicare Services Limited
ARVEE,Arvee Laboratories (India) Limited
ARVIND,Arvind Limited
ARVINDFASN,Arvind Fashions Limited
ASAHIINDIA,Asahi India Glass Limited
ASAHISONG,Asahi Songwon Colors Limited
ASALCBR,.Associated Alcohols & Breweries Ltd...
ASHAPURMIN,Ashapura Minechem Limited
ASHIANA,Ashiana Housing Limited
ASHIMASYN,Ashima Limited
ASHOKA,Ashoka Buildcon Limited
ASHOKLEY,Ashok Leyland Limited
ASIANENE,Asian Energy Services Limited
ASIANHOTNR,Asian Hotels (North) Limited
ASIANPAINT,Asian Paints Limited
ASIANTILES,Asian Granito India Limited
ASPINWALL,Aspinwall and Company Limited
ASTEC,Astec LifeSciences Limited
ASTERDM,Aster DM Healthcare Limited
ASTRAL,Astral Limited
ASTRAMICRO,Astra Microwave Products Limited
ASTRAZEN,AstraZeneca Pharma India Limited
ASTRON,Astron Paper & Board Mill Limited
ATFL,Agro Tech Foods Limited
ATULAUTO,Atul Auto Limited
ATUL,Atul Limited
AUBANK,AU Small Finance Bank Limited
AURIONPRO,Aurionpro Solutions Limited
AUROPHARMA,Aurobindo Pharma Limited
AURUM,Aurum PropTech Limited
AUSOMENT,Ausom Enterprise Limited
AUTOAXLES,Automotive Axles Limited
AUTOIND,Autoline Industries Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
AVANTIFEED,Avanti Feeds Limited
AVTNPL,AVT Natural Products Limited
AWHCL,Antony Waste Handling Cell Limited
AXISBANK,Axis Bank Limited
AXISCADES,AXISCADES Technologies Limited
AYMSYNTEX,AYM Syntex Limited
BAFNAPH,Bafna Pharmaceuticals Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJCON,Bajaj Consumer Care Limited
BAJAJELEC,Bajaj Electricals Limited
BAJAJFINSV,Bajaj Finserv Limited
BAJAJHCARE,Bajaj Healthcare Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJFINANCE,Bajaj Finance Limited
BALAJITELE,Balaji Telefilms Limited
BALAMINES,Balaji Amines Limited
BALAXI,BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA,Balkrishna Paper Mills Limited
BALKRISIND,Balkrishna Industries Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
BALPHARMA,Bal Pharma Limited
BALRAMCHIN,Balrampur Chini Mills Limited
BANARBEADS,Banaras Beads Limited
BANARISUG,Bannari Amman Sugars Limited
BANCOINDIA,Banco Products (I) Limited
BANDHANBNK,Bandhan Bank Limited
BANG,Bang Overseas Limited
BANKA,Banka BioLoo Limited
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
BANSWRAS,Banswara Syntex Limited
BARBEQUE,Barbeque Nation Hospitality Limited
BASF,BASF India Limited
BASML,Bannari Amman Spinning Mills Limited
BATAINDIA,Bata India Limited
BAYERCROP,Bayer Cropscience Limited
BBL,Bharat Bijlee Limited
BBOX,Black Box Limited
BBTC,Bombay Burmah Trading Corporation Limited
BCLIND,Bcl Industries Limited
BCP,.B..C.. Power Controls Ltd.
BDL,Bharat Dynamics Limited
BEARDSELL,Beardsell Limited
BECTORFOOD,.Mrs.. Bectors Food Specialities Limited.
BEDMUTHA,Bedmutha Industries Limited
BEL,Bharat Electronics Limited
BEML,BEML Limited
BEPL,Bhansali Engineering Polymers Limited
BERGEPAINT,Berger Paints (I) Limited
BESTAGRO,Best Agrolife Limited
BFINVEST,BF Investment Limited
BFUTILITIE,BF Utilities Limited
BGRENERGY,BGR Energy Systems Limited
BHAGCHEM,Bhagiradha Chemicals & Industries Limited
BHAGERIA,Bhageria Industries Limited
BHAGYANGR,Bhagyanagar India Limited
BHAGYAPROP,Bhagyanagar Properties Limited
BHANDARI,Bhandari Hosiery Exports Limited
BHARATFORG,Bharat Forge Limited
BHARATGEAR,Bharat Gears Limited
BHARATRAS,Bharat Rasayan Limited
BHARATWIRE,Bharat Wire Ropes Limited
BHARTIARTL,Bharti Airtel Limited
BHEL,Bharat Heavy Electricals Limited
BIGBLOC,Bigbloc Construction Limited
BIL,Bhartiya International Limited
BINDALAGRO,Oswal Chemicals & Fertilizers Limited
BIOCON,Biocon Limited
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE,Birla Cable Limited
BIRLACORPN,Birla Corporation Limited
BIRLAMONEY,Aditya Birla Money Limited
BIRLATYRE,Birla Tyres Limited
BLBLIMITED,BLB Limited
BLISSGVS,Bliss GVS Pharma Limited
BLKASHYAP,.B.. L.. Kashyap and Sons Limited.
BLUEDART,Blue Dart Express Limited
BLUESTARCO,Blue Star Limited
BODALCHEM,Bodal Chemicals Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
BOROLTD,Borosil Limited
BORORENEW,BOROSIL RENEWABLES LIMITED
BOSCHLTD,Bosch Limited
BPCL,Bharat Petroleum Corporation Limited
BRIGADE,Brigade Enterprises Limited
BRITANNIA,Britannia Industries Limited
BRNL,Bharat Road Network Limited
BROOKS,Brooks Laboratories Limited
BSE,BSE Limited
BSHSL,Bombay Super Hybrid Seeds Limited
BSL,BSL Limited
BSOFT,BIRLASOFT LIMITED
BURGERKING,Burger King India Limited
BURNPUR,Burnpur Cement Limited
BYKE,The Byke Hospitality Ltd
CADILAHC,Cadila Healthcare Limited
CAMLINFINE,Camlin Fine Sciences Limited
CAMS,Computer Age Management Services Limited
CANBK,Canara Bank
CANFINHOME,Can Fin Homes Limited
CAPACITE,Capacit'e Infraprojects Limited
CAPLIPOINT,Caplin Point Laboratories Limited
CAPTRUST,Capital Trust Limited
CARBORUNIV,Carborundum Universal Limited
CAREERP,Career Point Limited
CARERATING,CARE Ratings Limited
CARTRADE,Cartrade Tech Limited
CASTROLIND,Castrol India Limited
CCHHL,Country Club Hospitality & Holidays Limited
CCL,CCL Products (India) Limited
CDSL,Central Depository Services (India) Limited
CEATLTD,CEAT Limited
CEBBCO,Commercial Engineers & Body Builders Co Limited
CELEBRITY,Celebrity Fashions Limited
CENTENKA,Century Enka Limited
CENTEXT,Century Extrusions Limited
CENTRALBK,Central Bank of India
CENTRUM,Centrum Capital Limited
CENTUM,Centum Electronics Limited
CENTURYPLY,Century Plyboards (India) Limited
CENTURYTEX,Century Textiles & Industries Limited
CERA,Cera Sanitaryware Limited
CEREBRAINT,Cerebra Integrated Technologies Limited
CESC,CESC Limited
CGCL,Capri Global Capital Limited
CHALET,Chalet Hotels Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
CHEMBOND,Chembond Chemicals Ltd
CHEMCON,Chemcon Speciality Chemicals Limited
CHEMFAB,Chemfab Alkalis Limited
CHEMPLASTS,Chemplast Sanmar Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CIGNITITEC,Cigniti Technologies Limited
CINELINE,Cineline India Limited
CIPLA,Cipla Limited
CLEAN,Clean Science and Technology Limited
CLNINDIA,Clariant Chemicals (India) Limited
CLSEL,Chaman Lal Setia Exports Limited
CMICABLES,CMI Limited
COALINDIA,Coal India Limited
COASTCORP,Coastal Corporation Limited
COCHINSHIP,Cochin Shipyard Limited
COFFEEDAY,Coffee Day Enterprises Limited
COFORGE,Coforge Limited
COLPAL,Colgate Palmolive (India) Limited
COMPINFO,Compuage Infocom Limited
COMPUSOFT,Compucom Software Limited
CONCOR,Container Corporation of India Limited
CONFIPET,Confidence Petroleum India Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
CONTROLPR,Control Print Limited
CORALFINAC,Coral India Finance & Housing Limited
CORDSCABLE,Cords Cable Industries Limited
COROMANDEL,Coromandel International Limited
COSMOFILMS,Cosmo Films Limited
COUNCODOS,Country Condo's Limited
CRAFTSMAN,Craftsman Automation Limited
CREDITACC,CREDITACCESS GRAMEEN LIMITED
CRISIL,CRISIL Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
CSBBANK,CSB Bank Limited
CTE,Cambridge Technology Enterprises Limited
CUB,City Union Bank Limited
CUBEXTUB,Cubex Tubings Limited
CUMMINSIND,Cummins India Limited
CUPID,Cupid Limited
CYBERMEDIA,Cyber Media (India) Limited
CYBERTECH,Cybertech Systems And Software Limited
CYIENT,Cyient Limited
DAAWAT,LT Foods Limited
DABUR,Dabur India Limited
DALBHARAT,Dalmia Bharat Limited
DALMIASUG,Dalmia Bharat Sugar and Industries Limited
DAMODARIND,Damodar Industries Limited
DANGEE,Dangee Dums Limited
DATAMATICS,Datamatics Global Services Limited
DATAPATTNS,Data Patterns (India) Limited
DBCORP,.D..B..Corp Limited.
DBL,Dilip Buildcon Limited
DBSTOCKBRO,DB (International) Stock Brokers Limited
DCAL,Dishman Carbogen Amcis Limited
DCBBANK,DCB Bank Limited
DCMNVL,DCM Nouvelle Limited
DCMSHRIRAM,DCM Shriram Limited
DCMSRIND,DCM Shriram Industries Limited
DECCANCE,Deccan Cements Limited
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR,Deepak Nitrite Limited
DEEPENR,DEEP ENERGY RESOURCES LIMITED
DEEPINDS,Deep Industries Limited
DELPHIFX,DELPHI WORLD MONEY LIMITED
DELTACORP,Delta Corp Limited
DELTAMAGNT,Delta Manufacturing Limited
DEN,Den Networks Limited
DEVYANI,Devyani International Limited
DFMFOODS,DFM Foods Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
DHANBANK,Dhanlaxmi Bank Limited
DHANI,Dhani Services Limited
DHANUKA,Dhanuka Agritech Limited
DHARAMSI,The Dharamsi Morarji Chemical Company Limited
DHARSUGAR,Dharani Sugars & Chemicals Limited
DHRUV,Dhruv Consultancy Services Limited
DHUNINV,Dhunseri Investments Limited
DIAMONDYD,Prataap Snacks Limited
DICIND,DIC India Limited
DIGISPICE,DiGiSPICE Technologies Limited
DIGJAMLMTD,Digjam Limited
DIVISLAB,Divi's Laboratories Limited
DIXON,Dixon Technologies (India) Limited
DLF,DLF Limited
DLINKINDIA,D-Link (India) Limited
DMART,Avenue Supermarts Limited
DODLA,Dodla Dairy Limited
DOLATALGO,Dolat Algotech Limited
DOLLAR,Dollar Industries Limited
DPABHUSHAN,.D.. P.. Abhushan Limited.
DPSCLTD,DPSC Limited
DPWIRES,D P Wires Limited
DREDGECORP,Dredging Corporation of India Limited
DRREDDY,.Dr.. Reddy's Laboratories Limited.
DSSL,Dynacons Systems & Solutions Limited
DTIL,Dhunseri Tea & Industries Limited
DVL,Dhunseri Ventures Limited
DWARKESH,Dwarikesh Sugar Industries Limited
DYNPRO,Dynemic Products Limited
EASTSILK,Eastern Silk Industries Limited
ECLERX,eClerx Services Limited
EDELWEISS,Edelweiss Financial Services Limited
EICHERMOT,Eicher Motors Limited
EIDPARRY,EID Parry India Limited
EIFFL,Euro India Fresh Foods Limited
EIHAHOTELS,EIH Associated Hotels Limited
EIHOTEL,EIH Limited
EIMCOELECO,Eimco Elecon (India) Limited
EKC,Everest Kanto Cylinder Limited
ELECON,Elecon Engineering Company Limited
ELECTCAST,Electrosteel Castings Limited
ELECTHERM,Electrotherm (India) Limited
ELGIEQUIP,Elgi Equipments Limited
ELGIRUBCO,Elgi Rubber Company Limited
EMAMILTD,Emami Limited
EMAMIPAP,Emami Paper Mills Limited
EMAMIREAL,Emami Realty Limited
EMKAY,Emkay Global Financial Services Limited
EMMBI,Emmbi Industries Limited
ENDURANCE,Endurance Technologies Limited
ENERGYDEV,Energy Development Company Limited
ENGINERSIN,Engineers India Limited
ENIL,Entertainment Network (India) Limited
EPL,EPL Limited
EQUIPPP,Equippp Social Impact Technologies Limited
EQUITASBNK,Equitas Small Finance Bank Limited
EQUITAS,Equitas Holdings Limited
ERIS,Eris Lifesciences Limited
EROSMEDIA,Eros International Media Limited
ESABINDIA,Esab India Limited
ESCORTS,Escorts Limited
ESSARSHPNG,Essar Shipping Limited
ESTER,Ester Industries Limited
EVEREADY,Eveready Industries India Limited
EVERESTIND,Everest Industries Limited
EXCELINDUS,Excel Industries Limited
EXIDEIND,Exide Industries Limited
EXPLEOSOL,Expleo Solutions Limited
EXXARO,Exxaro Tiles Limited
FACT,Fertilizers and Chemicals Travancore Limited
FAIRCHEMOR,Fairchem Organics Limited
FCL,Fineotex Chemical Limited
FCONSUMER,Future Consumer Limited
FDC,FDC Limited
FEDERALBNK,The Federal Bank  Limited
FEL,Future Enterprises Limited
FELDVR,Future Enterprises Limited
FIEMIND,Fiem Industries Limited
FILATEX,Filatex India Limited
FINCABLES,Finolex Cables Limited
FINEORG,Fine Organic Industries Limited
FINOPB,Fino Payments Bank Limited
FINPIPE,Finolex Industries Limited
FLEXITUFF,Flexituff Ventures International Limited
FLFL,Future Lifestyle Fashions Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
FMGOETZE,.Federal-Mogul Goetze (India) Limited...
FMNL,Future Market Networks Limited
FOCUS,Focus Lighting and Fixtures Limited
FOODSIN,Foods & Inns Limited
FORCEMOT,FORCE MOTORS LTD
FORTIS,Fortis Healthcare Limited
FOSECOIND,Foseco India Limited
FRETAIL,Future Retail Limited
FSC,Future Supply Chain Solutions Limited
FSL,Firstsource Solutions Limited
GABRIEL,Gabriel India Limited
GAEL,Gujarat Ambuja Exports Limited
GAIL,GAIL (India) Limited
GALAXYSURF,Galaxy Surfactants Limited
GAL,Gyscoal Alloys Limited
GALLANTT,Gallantt Metal Limited
GALLISPAT,Gallantt Ispat Limited
GANDHITUBE,Gandhi Special Tubes Limited
GANECOS,Ganesha Ecosphere Limited
GANESHBE,Ganesh Benzoplast Limited
GANESHHOUC,Ganesh Housing Corporation Limited
GANGAFORGE,Ganga Forging Limited
GANGESSECU,Ganges Securities Limited
GARFIBRES,Garware Technical Fibres Limited
GATI,GATI Limited
GAYAPROJ,Gayatri Projects Limited
GDL,Gateway Distriparks Limited
GEECEE,GeeCee Ventures Limited
GEEKAYWIRE,Geekay Wires Limited
GENCON,Generic Engineering Construction and Projects Limited
GENESYS,Genesys International Corporation Limited
GENUSPAPER,Genus Paper & Boards Limited
GENUSPOWER,Genus Power Infrastructures Limited
GEOJITFSL,Geojit Financial Services Limited
GEPIL,GE Power India Limited
GESHIP,The Great Eastern Shipping Company Limited
GET&D,GE T&D India Limited
GFLLIMITED,GFL Limited
GHCL,GHCL Limited
GICHSGFIN,GIC Housing Finance Limited
GICRE,General Insurance Corporation of India
GILLANDERS,Gillanders Arbuthnot & Company Limited
GILLETTE,Gillette India Limited
GINNIFILA,Ginni Filaments Limited
GIPCL,Gujarat Industries Power Company Limited
GKWLIMITED,GKW Limited
GLAND,Gland Pharma Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,Glenmark Pharmaceuticals Limited
GLOBAL,Global Education Limited
GLOBALVECT,Global Vectra Helicorp Limited
GLOBE,Globe Textiles (India) Limited
GLOBUSSPR,Globus Spirits Limited
GLS,Glenmark Life Sciences Limited
GMBREW,GM Breweries Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR,GMM Pfaudler Limited
GMRINFRA,GMR Infrastructure Limited
GNA,GNA Axles Limited
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOACARBON,Goa Carbon Limited
GOCLCORP,GOCL Corporation Limited
GOCOLORS,Go Fashion (India) Limited
GODFRYPHLP,Godfrey Phillips India Limited
GODREJAGRO,Godrej Agrovet Limited
GODREJCP,Godrej Consumer Products Limited
GODREJIND,Godrej Industries Limited
GODREJPROP,Godrej Properties Limited
GOKEX,Gokaldas Exports Limited
GOKULAGRO,Gokul Agro Resources Limited
GOKUL,Gokul Refoils and Solvent Limited
GOLDIAM,Goldiam International Limited
GOODLUCK,Goodluck India Limited
GOODYEAR,Goodyear India Limited
GPIL,Godawari Power And Ispat limited
GPPL,Gujarat Pipavav Port Limited
GPTINFRA,GPT Infraprojects Limited
GRANULES,Granules India Limited
GRAPHITE,Graphite India Limited
GRASIM,Grasim Industries Limited
GRAUWEIL,Grauer & Weil (India) Limited
GRAVITA,Gravita India Limited
GREAVESCOT,Greaves Cotton Limited
GREENLAM,Greenlam Industries Limited
GREENPANEL,Greenpanel Industries Limited
GREENPLY,Greenply Industries Limited
GRINDWELL,Grindwell Norton Limited
GRINFRA,G R Infraprojects Limited
GROBTEA,The Grob Tea Company Limited
GRPLTD,GRP Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
GSCLCEMENT,Gujarat Sidhee Cement Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
GSPL,Gujarat State Petronet Limited
GTL,GTL Limited
GTNTEX,GTN Textiles Limited
GTPL,GTPL Hathway Limited
GUFICBIO,Gufic Biosciences Limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO,Gujarat Apollo Industries Limited
GUJGASLTD,Gujarat Gas Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
GULFPETRO,GP Petroleums Limited
GULPOLY,Gulshan Polyols Limited
HAL,Hindustan Aeronautics Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
HARRMALAYA,Harrisons  Malayalam Limited
HATHWAY,Hathway Cable & Datacom Limited
HATSUN,Hatsun Agro Product Limited
HAVELLS,Havells India Limited
HBLPOWER,HBL Power Systems Limited
HBSL,HB Stockholdings Limited
HCC,Hindustan Construction Company Limited
HCG,Healthcare Global Enterprises Limited
HCL-INSYS,HCL Infosystems Limited
HCLTECH,HCL Technologies Limited
HDFCAMC,HDFC Asset Management Company Limited
HDFCBANK,HDFC Bank Limited
HDFC,Housing Development Finance Corporation Limited
HDFCLIFE,HDFC Life Insurance Company Limited
HECPROJECT,HEC Infra Projects Limited
HEG,HEG Limited
HEIDELBERG,HeidelbergCement India Limited
HEMIPROP,Hemisphere Properties India Limited
HERANBA,Heranba Industries Limited
HERCULES,Hercules Hoists Limited
HERITGFOOD,Heritage Foods Limited
HEROMOTOCO,Hero MotoCorp Limited
HESTERBIO,Hester Biosciences Limited
HEXATRADEX,Hexa Tradex Limited
HFCL,HFCL Limited
HGINFRA,.H..G.. Infra Engineering Limited.
HGS,Hinduja Global Solutions Limited
HIKAL,Hikal Limited
HIL,HIL Limited
HIMATSEIDE,Himatsingka Seide Limited
HINDALCO,Hindalco Industries Limited
HINDCOMPOS,Hindustan Composites Limited
HINDCON,Hindcon Chemicals Limited
HINDCOPPER,Hindustan Copper Limited
HINDNATGLS,Hindusthan National Glass & Industries Limited
HINDOILEXP,Hindustan Oil Exploration Company Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
HINDUNILVR,Hindustan Unilever Limited
HINDZINC,Hindustan Zinc Limited
HIRECT,Hind Rectifiers Limited
HISARMETAL,Hisar Metal Industries Limited
HITECHCORP,Hitech Corporation Limited
HITECH,Hi-Tech Pipes Limited
HITECHGEAR,The Hi-Tech Gears Limited
HLEGLAS,HLE Glascoat Limited
HMVL,Hindustan Media Ventures Limited
HNDFDS,Hindustan Foods Limited
HOMEFIRST,Home First Finance Company India Limited
HONAUT,Honeywell Automation India Limited
HONDAPOWER,Honda India Power Products Limited
HOVS,HOV Services Limited
HPL,HPL Electric & Power Limited
HSCL,Himadri Speciality Chemical Limited
HSIL,HSIL Limited
HTMEDIA,HT Media Limited
HUBTOWN,Hubtown Limited
HUDCO,Housing & Urban Development Corporation Limited
HUHTAMAKI,Huhtamaki India Limited
IBREALEST,Indiabulls Real Estate Limited
IBULHSGFIN,Indiabulls Housing Finance Limited
ICEMAKE,Ice Make Refrigeration Limited
ICICIBANK,ICICI Bank Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
ICIL,Indo Count Industries Limited
ICRA,ICRA Limited
IDBI,IDBI Bank Limited
IDEA,Vodafone Idea Limited
IDFC,IDFC Limited
IDFCFIRSTB,IDFC First Bank Limited
IEX,Indian Energy Exchange Limited
IFBAGRO,IFB Agro Industries Limited
IFBIND,IFB Industries Limited
IFCI,IFCI Limited
IFGLEXPOR,IFGL Refractories Limited
IGARASHI,Igarashi Motors India Limited
IGL,Indraprastha Gas Limited
IGPL,IG Petrochemicals Limited
IIFL,IIFL Finance Limited
IIFLSEC,IIFL Securities Limited
IIFLWAM,Iifl Wealth Management Limited
IMFA,Indian Metals & Ferro Alloys Limited
IMPAL,India Motor Parts and Accessories Limited
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED
INDBANK,Indbank Merchant Banking Services Limited
INDHOTEL,The Indian Hotels Company Limited
INDIACEM,The India Cements Limited
INDIAGLYCO,India Glycols Limited
INDIAMART,Indiamart Intermesh Limited
INDIANB,Indian Bank
INDIANCARD,Indian Card Clothing Company Limited
INDIANHUME,Indian Hume Pipe Company Limited
INDIGO,InterGlobe Aviation Limited
INDIGOPNTS,Indigo Paints Limited
INDLMETER,IMP Powers Limited
INDNIPPON,India Nippon Electricals Limited
INDOCO,Indoco Remedies Limited
INDORAMA,Indo Rama Synthetics (India) Limited
INDOSTAR,IndoStar Capital Finance Limited
INDOTECH,Indo Tech Transformers Limited
INDOTHAI,Indo Thai Securities Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
INDSWFTLAB,Ind-Swift Laboratories Limited
INDSWFTLTD,Ind-Swift Limited
INDTERRAIN,Indian Terrain Fashions Limited
INDUSINDBK,IndusInd Bank Limited
INDUSTOWER,Indus Towers Limited
INEOSSTYRO,INEOS Styrolution India Limited
INFIBEAM,Infibeam Avenues Limited
INFOBEAN,InfoBeans Technologies Limited
INFY,Infosys Limited
INGERRAND,Ingersoll Rand (India) Limited
INOXLEISUR,INOX Leisure Limited
INOXWIND,Inox Wind Limited
INSECTICID,Insecticides (India) Limited
INTELLECT,Intellect Design Arena Limited
INTENTECH,Intense Technologies Limited
INTLCONV,International Conveyors Limited
INVENTURE,Inventure Growth & Securities Limited
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation Limited
IOLCP,IOL Chemicals and Pharmaceuticals Limited
IPCALAB,IPCA Laboratories Limited
IPL,India Pesticides Limited
IRB,IRB Infrastructure Developers Limited
IRCON,Ircon International Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
IRFC,Indian Railway Finance Corporation Limited
IRIS,Iris Business Services Limited
IRISDOREME,Iris Clothings Limited
ISEC,ICICI Securities Limited
ISFT,Intrasoft Technologies Limited
ISGEC,Isgec Heavy Engineering Limited
ITC,ITC Limited
ITDC,India Tourism Development Corporation Limited
ITDCEM,ITD Cementation India Limited
ITI,ITI Limited
IVC,IL&FS Investment Managers Limited
IVP,IVP Limited
IZMO,IZMO Limited
JAGRAN,Jagran Prakashan Limited
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
JAIBALAJI,Jai Balaji Industries Limited
JAICORPLTD,Jai Corp Limited
JAIPURKURT,Nandani Creation Limited
JAMNAAUTO,Jamna Auto Industries Limited
JASH,Jash Engineering Limited
JAYAGROGN,Jayant Agro Organics Limited
JAYBARMARU,Jay Bharat Maruti Limited
JAYSREETEA,Jayshree Tea & Industries Limited
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
JBMA,JBM Auto Limited
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
JETFREIGHT,Jet Freight Logistics Limited
JHS,JHS Svendgaard Laboratories Limited
